num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
74,80.920273,1.3513513513513513,1.065619742007852,0.11217049915872125,1.79472798653954,1.5703869882220975,0.616937745372967,1.5703869882220975,70.0,1783,before,4
6,73.39589600000001,0.0,0.9803921568627451,0.0,1.9607843137254901,4.901960784313726,0.0,2.941176470588235,57.5,102,before,2
2,3.1908445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,12,before,2
2,70.555425,0.0,0.0,0.0,23.076923076923077,7.6923076923076925,0.0,0.0,40.0,13,before,2
6,24.234605000000002,0.0,1.7241379310344827,0.0,1.7241379310344827,0.8620689655172413,0.0,0.8620689655172413,113.0,116,before,2
1,33.941996,0.0,0.0,0.0,7.142857142857142,7.142857142857142,0.0,0.0,62.0,14,before,1
2,39.689174,0.0,4.054054054054054,0.0,4.054054054054054,4.054054054054054,0.0,0.0,187.5,74,before,2
3,9.085139999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,24,before,2
50,85.70094999999999,8.0,1.652173913043478,0.08695652173913043,3.217391304347826,6.608695652173912,1.0434782608695654,0.6956521739130435,93.5,1150,before,3
1,18.670654,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,35.0,6,before,1
1,82.14078,100.0,14.285714285714285,0.0,14.285714285714285,42.857142857142854,0.0,14.285714285714285,112.0,7,before,1
22,68.06903,0.0,0.718562874251497,0.11976047904191617,1.6766467065868262,2.5149700598802394,0.11976047904191617,0.8383233532934131,135.0,835,before,3
563,84.95374,0.3552397868561279,1.8769551616266946,0.13903371567605144,2.178194878924806,2.699571312709999,0.4634457189201715,1.3092341559494844,58.0,8631,before,4
5,5.1061098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,110,before,2
1,18.715557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3,before,1
3,72.0274,0.0,2.4390243902439024,0.0,2.682926829268293,4.390243902439024,1.2195121951219512,0.975609756097561,790.0,410,before,2
7,71.42654,0.0,0.6060606060606061,0.0,4.242424242424243,5.454545454545454,0.0,0.6060606060606061,163.0,165,before,2
1,4.967891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,24,before,1
1535,94.56558000000001,5.928338762214984,2.2878259425344627,0.04152134196977247,1.9847201461551236,3.9735924265072247,0.32386646736422525,1.079554891214084,45.0,24084,before,4
1,2.2176525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,18,before,1
13,85.46382,15.384615384615385,3.597122302158273,0.0,4.316546762589928,6.474820143884892,0.0,0.7194244604316548,64.0,139,before,3
2,1.677259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,8,before,2
1,32.654724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,17,before,1
418,94.54711,5.741626794258373,2.310622090562844,0.016927634363097757,2.0270842149809565,4.494286923402455,0.29623360135421073,0.6601777401608124,183.5,23630,before,4
1,12.0602444,0.0,5.263157894736842,0.0,0.0,0.0,0.0,0.0,169.0,19,before,1
1,1.0353187,0.0,0.0,0.0,1.1764705882352942,1.1764705882352942,0.0,4.705882352941177,482.0,85,before,1
63,77.82802,0.0,1.3584905660377358,0.0,2.339622641509434,4.0,0.5283018867924528,1.0566037735849056,79.0,1325,before,3
4,72.167116,0.0,4.918032786885246,0.0,4.918032786885246,11.475409836065573,0.0,1.639344262295082,96.0,61,before,2
5,14.599417,0.0,0.0,0.0,2.631578947368421,0.0,0.0,0.0,55.0,38,before,2
2,44.18983,0.0,0.0,0.0,2.941176470588235,5.88235294117647,0.0,2.941176470588235,79.0,34,before,2
1,34.892437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6,before,1
3,72.09785,0.0,5.555555555555555,0.0,2.7777777777777777,8.333333333333332,0.0,11.11111111111111,61.0,36,before,2
1,59.741855,0.0,0.0,0.0,50.0,100.0,0.0,0.0,9.0,2,before,1
1,4.929185700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,7,before,1
