num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
570,10.350877192982457,4.44255111976631,0.024342745861733205,4.077409931840312,7.6923076923076925,0.4259980525803311,1.010223953261928,62.0,8216,304,7.894736842105263,2.4516933305630584,0.0,2.3062538956991485,5.048826095990027,0.4570953667151465,0.7895283606897985,58.0,4813,4
80,1.25,3.143418467583497,0.0,1.37524557956778,4.4204322200392925,0.0,2.357563850687623,53.0,1018,740,1.4864864864864866,1.916439600363306,0.07266121707538602,1.8528610354223434,3.6603088101725705,0.3996366939146231,0.6539509536784741,51.0,11010,2
224,4.910714285714286,4.3403629230014715,0.024521824423737126,1.8146150073565472,6.5963707699852865,0.24521824423737126,2.0843550760176557,54.0,4078,41,9.75609756097561,4.389086595492289,0.0,3.795966785290629,9.134045077105576,0.7117437722419928,0.5931198102016607,64.0,843,3
20,5.0,0.9794319294809012,0.0979431929480901,3.0362389813907935,3.232125367286973,0.0,0.6856023506366308,180.0,1021,5,0.0,1.1312217194570136,0.0,2.48868778280543,2.7149321266968327,0.904977375565611,0.0,237.0,442,2
3,33.33333333333333,0.0,1.7857142857142856,3.571428571428571,10.714285714285714,0.0,0.0,102.0,56,768,10.807291666666668,2.090497737556561,0.05429864253393665,3.1855203619909505,5.366515837104072,0.6968325791855203,1.2217194570135748,61.5,11050,1
75,14.666666666666666,2.809482001755926,0.08779631255487269,3.511852502194908,5.179982440737489,0.17559262510974538,1.2291483757682178,66.0,1139,29,6.896551724137931,2.3628691983122363,0.08438818565400844,3.2911392405063293,6.4978902953586495,0.25316455696202533,2.278481012658228,124.0,1185,2
101,2.9702970297029703,1.8823529411764703,0.09411764705882353,2.8705882352941177,4.941176470588235,0.8,1.0823529411764705,82.0,2125,249,3.614457831325301,1.105815061963775,0.019065776930409912,2.19256434699714,2.8598665395614873,0.22878932316491898,0.667302192564347,76.0,5245,2
198,1.5151515151515151,1.1614623000761615,0.01904036557501904,1.5613099771515613,1.904036557501904,0.8568164508758568,0.8377760853008377,62.5,5252,149,4.026845637583892,1.1051373954599761,0.05973715651135006,2.2700119474313025,4.480286738351254,0.6272401433691757,0.7467144563918757,72.0,3348,3
7,0.0,1.0638297872340425,1.0638297872340425,2.127659574468085,2.127659574468085,1.0638297872340425,1.0638297872340425,56.0,94,2,50.0,6.896551724137931,0.0,3.4482758620689653,10.344827586206897,0.0,3.4482758620689653,74.5,29,1
5,0.0,1.4084507042253522,0.0,4.225352112676056,7.746478873239436,0.7042253521126761,4.225352112676056,131.0,142,6,16.666666666666664,3.211009174311927,0.0,0.9174311926605505,2.7522935779816518,0.0,0.0,222.5,218,1
