num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
21,0.0,6.7368421052631575,0.0,1.4736842105263157,5.473684210526316,0.0,3.578947368421052,76.0,475,151,2.6490066225165565,5.898797875314509,0.05591277606933184,1.5935141179759575,5.311713726586524,0.33547665641599106,1.062342745317305,93.0,3577,2
97,9.278350515463918,6.75314765356734,0.03815337657382679,2.0221289584128193,8.241129339946585,0.2670736360167875,2.632582983594048,89.0,2621,19,15.789473684210526,6.715063520871143,0.0,4.3557168784029034,9.98185117967332,0.3629764065335753,0.5444646098003629,88.0,551,3
5,20.0,2.247191011235955,0.22471910112359553,4.269662921348314,4.49438202247191,0.0,0.44943820224719105,417.0,445,2,0.0,1.9083969465648856,0.0,0.7633587786259541,3.435114503816794,1.5267175572519083,0.0,642.5,262,1
28,25.0,5.211726384364821,0.16286644951140067,4.234527687296417,5.700325732899023,0.16286644951140067,1.4657980456026058,98.0,614,16,6.25,3.30188679245283,0.1179245283018868,3.30188679245283,6.839622641509433,0.2358490566037736,2.5943396226415096,165.5,848,2
28,3.571428571428571,4.08997955010225,0.0,2.965235173824131,6.032719836400818,1.0224948875255624,1.6359918200409,119.0,978,47,4.25531914893617,3.2329988851727984,0.0,2.508361204013378,3.901895206243032,0.11148272017837235,0.6131549609810479,117.0,1794,2
37,0.0,2.7280858676207513,0.044722719141323794,1.5652951699463327,2.3255813953488373,0.35778175313059035,1.073345259391771,149.0,2236,23,17.391304347826086,2.7570789865871834,0.0,3.055141579731744,6.333830104321908,0.44709388971684055,0.9687034277198211,226.0,1342,2
1,0.0,2.7777777777777777,0.0,5.555555555555555,5.555555555555555,0.0,2.7777777777777777,190.0,36,2,50.0,6.896551724137931,0.0,3.4482758620689653,10.344827586206897,0.0,3.4482758620689653,74.5,29,1
2,0.0,5.0,0.0,12.5,20.0,0.0,0.0,107.0,40,5,20.0,3.3653846153846154,0.0,0.9615384615384616,1.9230769230769231,0.0,0.0,224.0,208,1
314,11.146496815286625,9.16206261510129,0.13812154696132595,4.650092081031308,7.619705340699816,0.8977900552486188,2.3020257826887662,61.5,4344,45,6.666666666666667,7.343941248470013,0.0,3.6719706242350063,6.364749082007344,0.24479804161566704,1.4687882496940026,81.0,817,4
60,1.6666666666666667,3.1305270604881503,0.19455252918287938,2.3346303501945527,3.272019808984789,0.7428369296073576,2.228510788822073,319.0,5654,1,0.0,3.571428571428571,0.0,7.142857142857142,7.142857142857142,0.0,7.142857142857142,186.0,28,3
3,0.0,10.0,0.0,6.666666666666667,6.666666666666667,0.0,0.0,29.0,30,30,13.333333333333334,3.6124794745484397,0.0,4.351395730706075,6.732348111658457,0.41050903119868637,0.7389162561576355,124.0,1218,1
