num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,fixation_dict_gc,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
9,36.330515000000005,0.0,0.0,0.0,0.2985074626865672,4.079601990049751,3.582089552238806,0.6965174129353234,1.3930348258706469,546.0,1005,before,3
3,39.80827,0.0,0.0,0.0,1.0050251256281406,2.0100502512562812,2.512562814070352,0.0,3.015075376884422,370.0,199,before,2
10,33.64491,0.0,0.0,0.0,2.113821138211382,1.6260162601626018,1.1382113821138211,0.3252032520325203,0.8130081300813009,164.5,615,before,3
6,33.82407,0.0,0.0,0.0,0.0,0.7936507936507936,0.0,0.0,0.0,123.5,126,before,2
1,6.46867,0.0,0.0,0.0,0.0,13.513513513513514,0.0,0.0,2.7027027027027026,235.0,37,before,1
2,39.113668000000004,0.0,0.0,0.0,0.0,1.0309278350515463,1.0309278350515463,0.0,0.0,324.5,97,before,2
1,5.532443,0.0,0.0,0.0,3.7037037037037033,2.4691358024691357,0.0,0.0,0.0,614.0,81,before,1
2,9.377951,0.0,0.0,0.0,8.333333333333332,8.333333333333332,0.0,0.0,0.0,32.0,12,before,2
1,42.81468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6,before,1
2,32.675448,0.0,0.0,0.0,0.0,3.4782608695652173,1.7391304347826086,3.4782608695652173,0.0,287.0,115,before,2
8,46.66692,0.0,0.0,0.0,0.8639308855291578,2.591792656587473,3.023758099352052,0.8639308855291578,1.079913606911447,268.0,463,before,3
1,50.066120000000005,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,35.0,4,before,1
1,2.8982785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9,before,1
21,64.97305,0.0,0.0,0.0,0.0,2.65210608424337,4.05616224648986,0.234009360374415,3.2761310452418098,326.0,1282,before,3
5,46.059182,0.0,0.0,0.0,6.923076923076923,2.307692307692308,2.307692307692308,0.7692307692307693,1.5384615384615385,126.0,130,before,2
1,10.188106399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,9,before,1
2,22.635344,0.0,0.0,0.0,3.0120481927710845,2.4096385542168677,1.8072289156626504,0.0,4.216867469879518,465.5,166,before,2
1,2.8792514000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,15,before,1
2,50.072556999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,52.0,17,before,2
1,68.30754,0.0,0.0,0.0,0.0,5.617977528089887,3.3707865168539324,0.0,0.0,444.0,89,before,1
1,51.317643999999994,0.0,0.0,0.0,0.0,1.1363636363636365,0.946969696969697,0.5681818181818182,0.7575757575757576,2955.0,528,before,1
259,64.897656,0.0,0.0,0.0,0.4494730316181029,2.1543707377557344,2.1543707377557344,0.49597024178549287,1.4879107253564787,100.0,6452,before,4
1,17.293827,0.0,0.0,0.0,1.5873015873015872,0.0,1.5873015873015872,0.0,4.761904761904762,371.0,63,before,1
