venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
/r/The_Donald,2020-01-18,19814,6212,142.17472494196022,173,3.189632968448165,0,-39
/r/The_Donald,2020-01-19,19184,6010,147.49947873227688,176,3.1920133111480866,0,-38
/r/The_Donald,2020-01-20,22391,6674,128.69577062212497,192,3.3549595445010487,0,-37
/r/The_Donald,2020-01-21,27350,7452,117.57341864716636,196,3.670155662909286,0,-36
/r/The_Donald,2020-01-22,30566,7990,121.62716744094746,223,3.825531914893617,0,-35
/r/The_Donald,2020-01-23,28116,7911,129.1432280551999,259,3.554038680318544,0,-34
/r/The_Donald,2020-01-24,25726,7121,130.13414444530824,191,3.6126948462294624,0,-33
/r/The_Donald,2020-01-25,24282,6921,114.37245696400626,144,3.5084525357607284,0,-32
/r/The_Donald,2020-01-26,20904,6535,131.11992920015308,183,3.1987758224942615,0,-31
/r/The_Donald,2020-01-27,25821,7157,130.9954300762945,203,3.6077965628056448,0,-30
/r/The_Donald,2020-01-28,26870,7186,141.90320059545962,180,3.7392151405510714,0,-29
/r/The_Donald,2020-01-29,29967,7644,125.17138852738012,203,3.92032967032967,0,-28
/r/The_Donald,2020-01-30,31847,7357,114.42280277577166,194,4.328802501019437,0,-27
/r/The_Donald,2020-01-31,38096,8348,107.09854052918942,222,4.563488260661236,0,-26
/r/The_Donald,2020-02-01,27059,7649,119.87457038323663,227,3.537586612629102,0,-25
/r/The_Donald,2020-02-02,22134,6898,130.57273877292852,188,3.208756161206147,0,-24
/r/The_Donald,2020-02-03,29226,7860,120.60295627181277,208,3.718320610687023,0,-23
/r/The_Donald,2020-02-04,34195,8750,115.44135107471853,289,3.908,0,-22
/r/The_Donald,2020-02-05,61658,12492,89.58008693113626,488,4.935798911303234,0,-21
/r/The_Donald,2020-02-06,33842,9289,114.83316588854086,350,3.6432339326084615,0,-20
/r/The_Donald,2020-02-07,29284,8064,121.49921458817101,232,3.6314484126984126,0,-19
/r/The_Donald,2020-02-08,29335,7742,114.49694903698654,237,3.7890725910617413,0,-18
/r/The_Donald,2020-02-09,24427,7346,135.73586604986286,269,3.325210999183229,0,-17
/r/The_Donald,2020-02-10,26250,7684,129.5142095238095,222,3.416189484643415,0,-16
/r/The_Donald,2020-02-11,29944,8413,129.72869356131446,265,3.5592535361939857,0,-15
/r/The_Donald,2020-02-12,33733,9046,133.32819494263777,248,3.729051514481539,0,-14
/r/The_Donald,2020-02-13,28252,8012,137.77290103355514,191,3.526210683974039,0,-13
/r/The_Donald,2020-02-14,26630,7296,130.24994367254976,136,3.6499451754385963,0,-12
/r/The_Donald,2020-02-15,21597,6555,127.37370931147845,156,3.294736842105263,0,-11
/r/The_Donald,2020-02-16,22548,6681,129.75563242859678,177,3.374943870678042,0,-10
/r/The_Donald,2020-02-17,23223,7228,125.36834173018129,205,3.2129219701162146,0,-9
/r/The_Donald,2020-02-18,25546,7570,133.41110154231583,217,3.3746367239101716,0,-8
/r/The_Donald,2020-02-19,26660,7538,132.48683420855212,192,3.5367471477845585,0,-7
/r/The_Donald,2020-02-20,32475,8129,115.09986143187066,224,3.9949563291917825,0,-6
/r/The_Donald,2020-02-21,25900,7368,125.53621621621622,234,3.515200868621064,0,-5
/r/The_Donald,2020-02-22,19815,6266,123.92884178652535,176,3.162304500478774,0,-4
/r/The_Donald,2020-02-23,20688,6359,131.38795436968292,177,3.2533417203962887,0,-3
/r/The_Donald,2020-02-24,25303,7501,127.1569379125005,248,3.3732835621917077,0,-2
/r/The_Donald,2020-02-25,36582,10178,101.76482969766552,714,3.594222833562586,0,-1
/r/The_Donald,2020-02-26,43848,11521,103.14142036124795,1194,3.805919625032549,1,0
/r/The_Donald,2020-02-27,28240,9325,130.86990084985837,1428,3.0284182305630027,1,1
/r/The_Donald,2020-02-28,16570,5209,166.2973445986723,795,3.1810328277980418,1,2
/r/The_Donald,2020-02-29,14755,4076,136.0303625889529,490,3.619970559371933,1,3
/r/The_Donald,2020-03-01,13035,3658,134.00935941695437,375,3.563422635319847,1,4
/r/The_Donald,2020-03-02,13578,3748,131.55162763293563,367,3.6227321237993597,1,5
/r/The_Donald,2020-03-03,16767,4680,123.83539094650206,394,3.582692307692308,1,6
/r/The_Donald,2020-03-04,20302,5282,114.91099399073983,488,3.8436198409693296,1,7
/r/The_Donald,2020-03-05,11626,3685,117.12214003096508,242,3.1549525101763907,1,8
/r/The_Donald,2020-03-06,14428,3588,122.15317438314389,273,4.02118171683389,1,9
/r/The_Donald,2020-03-07,10900,2894,134.66770642201834,167,3.7664132688320664,1,10
/r/The_Donald,2020-03-08,10541,2826,132.98956455744238,155,3.730007077140835,1,11
